Year,Player_Name,Matches_Batted,Not_Outs,Runs_Scored,Highest_Score,Batting_Average,Balls_Faced,Batting_Strike_Rate,Centuries,Half_Centuries,Fours,Sixes,Catches_Taken,Stumpings,Matches_Bowled,Balls_Bowled,Runs_Conceded,Wickets_Taken,Best_Bowling_Match,Bowling_Average,Economy_Rate,Bowling_Strike_Rate,Four_Wicket_Hauls,Five_Wicket_Hauls
2020,Khaleel Ahmed,7,0,0,0*,0.00,2,0.00,0,0,0,0,1,0,7,154,242,8,2/24,30.25,9.42,19.25,0,0
2019,Khaleel Ahmed,9,0,0,0*,0.00,1,0.00,0,0,0,0,0,0,9,209,287,19,3/30,15.10,8.23,11.00,0,0
2018,Khaleel Ahmed,1,0,0,0,0.00,0,0.00,0,0,0,0,0,0,1,18,38,0,0/38,0,12.66,0,0,0
2024,Ishant Sharma,1,0,0,0,0,0,0,0,0,0,0,0,0,1,12,16,1,1/16,16.00,8,12.00,0,0
2023,Ishant Sharma,8,1,1,1*,0,1,100.00,0,0,0,0,0,0,8,150,206,10,2/19,20.60,8.24,15.00,0,0
2019,Ishant Sharma,13,3,10,10*,0.00,3,333.33,0,0,1,1,1,0,13,276,349,13,3/38,26.84,7.58,21.23,0,0
2017,Ishant Sharma,6,1,8,5*,4.00,12,66.66,0,0,1,0,0,0,6,108,179,0,0/12,0,9.94,0,0,0
2011,Ishant Sharma,12,5,4,1*,0.00,5,80.00,0,0,0,0,3,0,12,264,314,11,5/12,28.54,7.13,24.00,0,1
2010,Ishant Sharma,7,1,6,6*,6.00,17,35.29,0,0,0,0,1,0,7,150,236,7,2/33,33.71,9.44,21.42,0,0
2009,Ishant Sharma,11,1,16,9,8.00,13,123.07,0,0,1,1,2,0,11,258,297,11,2/15,27.00,6.9,23.45,0,0
2008,Ishant Sharma,13,5,11,4*,11.00,11,100.00,0,0,1,0,2,0,13,259,331,8,2/9,41.37,7.66,32.37,0,0
2021,Ishant Sharma,0,0,0,0,0,0,0,0,0,0,0,0,0,3,72,97,1,1/26,97.00,8.08,72.00,0,0
2020,Ishant Sharma,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,26,0,0/26,0,8.66,0,0,0
2016,Ishant Sharma,0,0,0,0,0,0,0,0,0,0,0,0,0,4,90,148,3,2/36,49.33,9.86,30.00,0,0
2015,Ishant Sharma,0,0,0,0,0,0,0,0,0,0,0,0,0,4,84,159,1,1/25,159.00,11.35,84.00,0,0
2014,Ishant Sharma,0,0,0,0,0,0,0,0,0,0,0,0,0,3,66,101,3,2/37,33.66,9.18,22.00,0,0
2013,Ishant Sharma,0,0,0,0,0,0,0,0,0,0,0,0,0,16,358,466,15,3/27,31.06,7.81,23.86,0,0
2021,Jhye Richardson,3,0,15,15,7.5,24,62.5,0,0,2,0,1,0,3,66,117,3,2/41,39,10.63,22,0,0
2023,Mukesh Kumar,10,3,7,6*,0,9,77.78,0,0,0,0,3,0,10,186,326,7,2/30,46.57,10.52,26.57,0,0
2022,Rasikh Dar,2,0,7,7,7,6,116.67,0,0,1,0,0,0,2,24,28,0,0/10,0,7,0,0,0
2019,Rasikh Dar,1,1,5,5*,0,4,125,0,0,0,0,1,0,1,24,42,0,0/42,0,10.5,0,0,0
2024,Shubman Gill,1,0,31,31,31,22,140.91,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0
2023,Shubman Gill,17,2,890,129,59.33,564,157.8,3,4,85,33,6,0,17,0,0,0,0,0,0,0,0,0
2022,Shubman Gill,16,2,483,96,34.5,365,132.33,0,4,51,11,7,0,16,0,0,0,0,0,0,0,0,0
2021,Shubman Gill,17,0,478,57,28.11,402,118.9,0,3,50,12,6,0,17,0,0,0,0,0,0,0,0,0
2020,Shubman Gill,14,1,440,70*,33.84,373,117.96,0,3,44,9,7,0,14,0,0,0,0,0,0,0,0,0
2019,Shubman Gill,14,4,296,76,32.88,238,124.36,0,3,21,10,7,0,14,0,0,0,0,0,0,0,0,0
2018,Shubman Gill,13,5,203,57*,33.83,139,146.04,0,1,22,5,3,0,13,0,0,0,0,0,0,0,0,0
2024,David Miller,1,0,12,12,12,11,109.09,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
2023,David Miller,16,5,259,46,32.38,178,145.51,0,0,18,13,11,0,16,0,0,0,0,0,0,0,0,0
2022,David Miller,16,9,481,94*,68.71,337,142.73,0,2,32,23,6,0,16,0,0,0,0,0,0,0,0,0
2021,David Miller,9,3,124,62,24.8,113,109.73,0,1,11,3,4,0,9,0,0,0,0,0,0,0,0,0
2020,David Miller,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2019,David Miller,10,2,213,59*,26.62,164,129.87,0,1,19,7,7,0,10,0,0,0,0,0,0,0,0,0
2018,David Miller,3,1,74,26,37,64,115.62,0,0,3,2,0,0,3,0,0,0,0,0,0,0,0,0
2017,David Miller,5,1,83,30*,27.66,80,103.75,0,0,4,4,2,0,5,0,0,0,0,0,0,0,0,0
2016,David Miller,14,3,161,31,16.1,131,122.9,0,0,11,4,10,0,14,0,0,0,0,0,0,0,0,0
2015,David Miller,13,2,357,89*,32.45,266,134.21,0,2,21,21,7,0,13,0,0,0,0,0,0,0,0,0
2014,David Miller,16,6,446,66,44.6,299,149.16,0,3,34,21,14,0,16,0,0,0,0,0,0,0,0,0
2013,David Miller,12,5,418,101*,59.71,254,164.56,1,3,28,24,8,0,12,0,0,0,0,0,0,0,0,0
2012,David Miller,6,3,98,34*,32.66,75,130.66,0,0,6,4,1,0,6,0,0,0,0,0,0,0,0,0
2022,Matthew Wade,10,0,157,35,15.7,138,113.77,0,0,23,2,7,1,10,0,0,0,0,0,0,0,0,0
2011,Matthew Wade,3,0,22,11,7.33,33,66.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,Wriddhiman Saha,1,0,19,19,19,15,126.67,0,0,4,0,2,2,1,0,0,0,0,0,0,0,0,0
2023,Wriddhiman Saha,17,1,371,81,23.19,287,129.27,0,2,47,8,9,2,17,0,0,0,0,0,0,0,0,0
2022,Wriddhiman Saha,11,1,317,68,31.7,259,122.39,0,3,40,7,11,2,11,0,0,0,0,0,0,0,0,0
2021,Wriddhiman Saha,9,0,131,44,14.55,140,93.57,0,0,7,5,6,0,9,0,0,0,0,0,0,0,0,0
2020,Wriddhiman Saha,4,1,214,87,71.33,153,139.86,0,2,24,5,2,1,4,0,0,0,0,0,0,0,0,0
2019,Wriddhiman Saha,5,0,86,28,17.2,53,162.26,0,0,13,1,4,1,5,0,0,0,0,0,0,0,0,0
2018,Wriddhiman Saha,11,2,122,35,15.25,102,119.6,0,0,17,1,5,1,11,0,0,0,0,0,0,0,0,0
2017,Wriddhiman Saha,14,1,234,93*,23.4,187,125.13,0,1,20,8,10,2,14,0,0,0,0,0,0,0,0,0
2016,Wriddhiman Saha,12,1,270,56,24.54,212,127.35,0,2,29,1,7,3,12,0,0,0,0,0,0,0,0,0
2015,Wriddhiman Saha,14,0,249,42,19.15,197,126.39,0,0,16,10,11,3,14,0,0,0,0,0,0,0,0,0
2014,Wriddhiman Saha,17,2,362,115*,32.9,249,145.38,1,2,33,18,8,4,17,0,0,0,0,0,0,0,0,0
2013,Wriddhiman Saha,3,0,70,39,23.33,56,125,0,0,6,4,0,0,3,0,0,0,0,0,0,0,0,0
2012,Wriddhiman Saha,4,0,6,6,6,14,42.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Wriddhiman Saha,7,2,68,46*,68,63,107.93,0,0,2,4,2,0,7,0,0,0,0,0,0,0,0,0
2010,Wriddhiman Saha,13,4,67,22,22.33,53,126.41,0,0,9,1,3,3,13,0,0,0,0,0,0,0,0,0
2009,Wriddhiman Saha,8,4,72,25*,24,41,175.6,0,0,3,4,2,0,8,0,0,0,0,0,0,0,0,0
2008,Wriddhiman Saha,12,5,159,59*,31.8,119,133.61,0,1,12,7,8,2,12,0,0,0,0,0,0,0,0,0
No stats,BR Sharath,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats
No stats,Robin Minz,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats
2023,Kane Williamson,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2022,Kane Williamson,13,2,216,57,19.64,231,93.51,0,1,16,8,10,0,13,0,0,0,0,0,0,0,0,0
2021,Kane Williamson,10,4,266,66*,44.33,235,113.19,0,2,29,2,7,0,10,0,0,0,0,0,0,0,0,0
2020,Kane Williamson,12,4,317,67,45.28,237,133.75,0,3,26,10,6,0,12,12,24,0,0/24,0,12.00,0,0,0
2019,Kane Williamson,9,2,156,70*,22.28,130,120.00,0,1,12,5,2,0,9,0,0,0,0,0,0,0,0,0
2018,Kane Williamson,17,3,735,84,52.50,516,142.44,0,8,64,28,6,0,17,0,0,0,0,0,0,0,0,0
2017,Kane Williamson,7,1,256,89,42.66,169,151.47,0,2,20,10,1,0,7,0,0,0,0,0,0,0,0,0
2016,Kane Williamson,6,0,124,50,20.66,122,101.63,0,1,14,0,5,0,6,6,7,0,0/7,0,7.00,0,0,0
2015,Kane Williamson,2,1,31,26*,31.00,27,114.81,0,0,1,1,2,0,2,0,0,0,0,0,0,0,0,0
2023,Abhinav Manohar,9,0,114,42,19,83,137.35,0,0,6,7,4,0,9,0,0,0,0,0,0,0,0,0
2022,Abhinav Manohar,8,1,108,43,18,75,144,0,0,14,3,4,0,8,0,0,0,0,0,0,0,0,0
2024,B. Sai Sudharsan,1,0,45,45,45,39,115.38,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0
2023,B. Sai Sudharsan,8,1,362,96,51.71,256,141.41,0,3,33,12,2,0,8,0,0,0,0,0,0,0,0,0
2022,B. Sai Sudharsan,5,1,145,65*,36.25,114,127.19,0,1,14,3,1,0,5,0,0,0,0,0,0,0,0,0
2023,Darshan Nalkande,1,0,0,0,0.00,1,0.00,0,0,0,0,0,0,1,24,44,1,1/44,44,11,24,0,0
2022,Darshan Nalkande,2,0,0,0,0,0,0,0,0,0,0,0,0,2,31,59,2,2/37,29.5,11.42,15.5,0,0
2024,Vijay Shankar,1,1,6,6*,0,5,120,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2023,Vijay Shankar,14,2,301,63*,37.63,188,160.11,0,3,27,15,2,0,14,0,0,0,0,0,0,0,0,0
2022,Vijay Shankar,4,0,19,13,4.75,35,54.29,0,0,1,0,3,0,4,9,15,0,0/1,0,10.00,0,0,0
2021,Vijay Shankar,7,0,58,28,11.60,52,111.53,0,0,1,3,3,0,7,66,100,3,2/19,33.33,9.09,22.00,0,0
2020,Vijay Shankar,7,1,97,52*,24.25,96,101.04,0,1,10,1,1,0,7,79,82,4,1/11,20.50,6.22,19.75,0,0
2019,Vijay Shankar,15,2,244,40*,20.33,193,126.42,0,0,11,12,10,0,15,48,70,1,1/11,70.00,8.75,48.00,0,0
2018,Vijay Shankar,13,7,212,54*,53.00,148,143.24,0,1,11,11,6,0,13,30,58,1,1/22,58.00,11.60,30.00,0,0
2017,Vijay Shankar,4,2,101,63*,50.50,75,134.66,0,1,12,1,1,0,4,0,0,0,0,0,0,0,0,0
2014,Vijay Shankar,1,0,0,0,0.00,0,0,0,0,0,0,0,0,1,6,19,0,0/19,0,19.00,0,0,0
2024,Azmatullah Omarzai,1,0,17,17,17,11,154.55,0,0,1,1,0,0,2,36,57,2,2/27,28.5,9.5,18,0,0
2023,Shahrukh Khan,14,6,156,41*,22.29,94,165.96,0,0,13,9,7,0,14,0,0,0,0,0,0,0,0,0
2022,Shahrukh Khan,8,1,117,26,16.71,108,108.33,0,0,4,9,3,0,8,0,0,0,0,0,0,0,0,0
2021,Shahrukh Khan,11,3,153,47,21.85,114,134.21,0,0,9,10,4,0,11,0,0,0,0,0,0,0,0,0
2023,Jayant Yadav,1,0,0,0,0,0,0,0,0,0,0,2,0,1,24,26,0,0/26,0,6.5,0,0,0
2021,Jayant Yadav,5,1,34,23,17.00,26,130.76,0,0,2,1,2,0,5,102,130,2,1/25,65.00,7.64,51.00,0,0
2020,Jayant Yadav,2,0,0,0,0.00,0,0.00,0,0,0,0,0,0,2,42,43,1,1/25,43.00,6.14,42.00,0,0
2019,Jayant Yadav,2,0,0,0,0.00,0,0.00,0,0,0,0,2,0,2,42,50,1,1/25,50.00,7.14,42.00,0,0
2017,Jayant Yadav,2,0,0,0,0.00,0,0.00,0,0,0,0,0,0,2,36,42,0,0/16,0,7,0,0,0
2016,Jayant Yadav,5,0,6,5,3.00,10,60.00,0,0,0,0,1,0,5,102,125,2,1/23,62.50,7.35,51.00,0,0
2015,Jayant Yadav,3,0,0,0,0.00,0,0.00,0,0,0,0,1,0,3,42,29,2,1/8,14.50,4.14,21.00,0,0
2024,Rahul Tewatia,1,0,22,22,22,15,146.67,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0
2023,Rahul Tewatia,17,6,87,20*,21.75,57,152.63,0,0,3,7,8,0,17,13,15,0,0/7,0,6.92,0,0,0
2022,Rahul Tewatia,16,5,217,43*,31,147,147.62,0,0,22,9,5,0,16,36,76,0,0/9,0,12.67,0,0,0
2021,Rahul Tewatia,14,1,155,44,15.5,147,105.44,0,0,11,6,2,0,14,222,340,8,3/39,42.50,9.18,27.75,0,0
2020,Rahul Tewatia,14,5,255,53,42.5,183,139.34,0,1,13,17,9,0,14,276,326,10,3/25,32.60,7.08,27.60,0,0
2019,Rahul Tewatia,5,3,26,11*,26,22,118.18,0,0,2,1,6,0,5,38,42,2,1/10,21.00,6.63,19.00,0,0
2018,Rahul Tewatia,8,2,50,24,16.66,43,116.27,0,0,5,1,2,0,8,132,173,6,3/18,28.83,7.86,22.00,0,0
2017,Rahul Tewatia,3,1,19,15*,19,11,172.72,0,0,4,0,0,0,3,54,49,3,2/18,16.33,5.44,18.00,0,0
2015,Rahul Tewatia,1,0,0,0,0,0,0,0,0,0,0,0,0,1,18,31,1,1/31,31.00,10.33,18.00,0,0
2014,Rahul Tewatia,3,0,16,16,16,13,123.07,0,0,0,1,0,0,3,54,59,2,1/17,29.50,6.55,27.00,0,0
2021,Mohammad Shami,14,3,13,9*,13,17,76.47,0,0,0,0,1,0,14,316,395,19,3/21,20.78,7.5,16.63,0,0
2020,Mohammad Shami,14,2,2,2*,2,3,66.66,0,0,0,0,2,0,14,322,460,20,3/15,23,8.57,16.1,0,0
2019,Mohammad Shami,14,1,1,1*,1,2,50,0,0,0,0,5,0,14,324,469,19,3/21,24.68,8.68,17.05,0,0
2018,Mohammad Shami,4,0,7,7,7,6,116.66,0,0,1,0,2,0,4,83,144,3,1/29,48,10.4,27.66,0,0
2017,Mohammad Shami,8,2,36,21,9,24,150,0,0,4,2,0,0,8,156,243,5,2/36,48.6,9.34,31.2,0,0
2016,Mohammad Shami,8,2,2,2*,0,4,50,0,0,0,0,1,0,8,151,244,5,2/34,48.8,9.69,30.2,0,0
2014,Mohammad Shami,12,2,3,1*,1.5,7,42.85,0,0,0,0,0,0,12,264,369,7,1/22,52.71,8.38,37.71,0,0
2013,Mohammad Shami,3,0,5,5,5,10,50,0,0,0,0,0,0,3,54,78,1,1/32,78,8.66,54,0,0
2023,Kartik Tyagi,3,0,0,0,0,0,0,0,0,0,0,0,0,3,37,92,1,1/30,92,14.92,37,0,0
2022,Kartik Tyagi,2,0,7,7,3.50,6,116.67,0,0,1,0,0,0,2,48,79,1,1/42,79,9.88,48,0,0
2021,Kartik Tyagi,4,1,2,1*,2.00,4,50.00,0,0,0,0,1,0,4,84,124,4,2/29,31,8.85,21,0,0
2020,Kartik Tyagi,10,2,4,2*,4.00,6,66.66,0,0,0,0,2,0,10,229,367,9,2/36,40.77,9.61,25.44,0,0
No stats,Sushant Mishra,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats
2024,Spencer Johnson,1,0,0,0,0,0,0,0,0,0,0,1,0,2,30,52,3,2/25,17.33,10.4,10,0,0
2023,Noor Ahmad,13,1,8,7*,4,9,88.89,0,0,1,0,2,0,13,283,369,16,3/37,23.06,7.82,17.69,0,0
2024,Sai Kishore,1,0,0,0,0,0,0,0,0,0,0,0,0,2,42,52,2,1/24,26,7.43,21,0,0
2022,Sai Kishore,5,0,0,0,0,0,0,0,0,0,0,3,0,5,96,121,6,2/7,20.17,7.56,16,0,0
2024,Umesh Yadav,1,0,0,0,0,0,0,0,0,0,0,0,0,2,30,58,2,2/31,29.00,11.6,15.00,0,0
2023,Umesh Yadav,8,3,19,6*,9.50,18,105.56,0,0,1,0,3,0,8,114,189,1,1/27,189.00,9.95,114.00,0,0
2022,Umesh Yadav,12,3,55,21,13.75,40,137.50,0,0,4,4,5,0,12,288,339,16,4/23,21.19,7.06,18.00,1,0
2020,Umesh Yadav,2,0,0,0*,0.00,2,0.00,0,0,0,0,0,0,2,42,83,0,0/35,0,11.85,0,0,0
2019,Umesh Yadav,11,5,25,14,12.50,25,100.00,0,0,3,1,4,0,11,227,371,8,3/36,46.37,9.8,28.37,0,0
2018,Umesh Yadav,14,1,3,1*,0.75,11,27.27,0,0,0,0,2,0,14,319,418,20,3/23,20.90,7.86,15.95,0,0
2017,Umesh Yadav,14,4,10,4*,0.00,13,76.92,0,0,0,0,4,0,14,291,410,17,4/33,24.11,8.45,17.11,1,0
2016,Umesh Yadav,9,1,9,7*,9.00,5,180.00,0,0,0,1,1,0,9,156,213,10,3/28,23.40,9,15.60,0,0
2015,Umesh Yadav,12,3,29,24*,29.00,14,207.14,0,0,5,1,5,0,12,252,382,10,3/33,38.20,9.09,25.20,0,0
2014,Umesh Yadav,12,0,2,2,2.00,4,50.00,0,0,0,0,2,0,12,270,367,11,3/13,33.36,8.15,24.54,0,0
2013,Umesh Yadav,16,7,38,12*,38.00,38,100.00,0,0,3,1,5,0,16,347,508,16,4/24,31.75,8.78,21.68,1,0
2012,Umesh Yadav,17,1,2,1*,1.00,7,28.57,0,0,0,0,3,0,17,366,453,19,3/19,23.84,7.42,19.26,0,0
2011,Umesh Yadav,7,1,1,1*,1.00,5,20.00,0,0,0,0,3,0,7,108,169,2,2/29,84.50,9.38,54.00,0,0
2010,Umesh Yadav,7,1,3,3*,0.00,4,75.00,0,0,0,0,1,0,7,144,184,6,2/24,30.66,7.66,24.00,0,0
2024,Rashid Khan,1,1,4,4*,0,3,133.33,0,0,0,0,1,0,2,42,57,1,1/34,57,8.14,42,0,0
2023,Rashid Khan,17,5,130,79*,32.50,60,216.67,0,1,8,13,10,0,17,402,552,27,4/30,20.44,8.24,14.89,1,0
2022,Rashid Khan,16,4,91,40,22.75,44,206.82,0,0,3,9,7,0,16,383,421,19,4/24,22.16,6.6,20.16,1,0
2021,Rashid Khan,14,2,83,22,10.37,69,120.28,0,0,9,2,2,0,14,336,375,18,3/36,20.83,6.69,18.66,0,0
2020,Rashid Khan,16,3,35,14,8.75,30,116.66,0,0,3,2,3,0,16,384,344,20,3/7,17.2,5.37,19.2,0,0
2019,Rashid Khan,15,3,34,17*,6.80,23,147.82,0,0,2,2,4,0,15,360,377,17,3/21,22.17,6.28,21.17,0,0
2018,Rashid Khan,17,2,59,34*,11.80,31,190.32,0,0,3,6,6,0,17,408,458,21,3/19,21.8,6.73,19.42,0,0
2017,Rashid Khan,14,1,11,6*,5.50,9,122.22,0,0,0,1,5,0,14,324,358,17,3/19,21.05,6.62,19.05,0,0
2023,Joshua Little,10,0,0,0,0,0,0,0,0,0,0,5,0,10,204,294,7,2/25,42,8.65,29.14,0,0
2024,Mohit Sharma,1,0,0,0,0,0,0,0,0,0,0,1,0,2,30,39,2,2/32,19.5,7.8,15,0,0
2023,Mohit Sharma,14,1,0,0*,0,1,0.00,0,0,0,0,6,0,14,265,361,27,5/10,13.37,8.17,9.81,2,1
2019,Mohit Sharma,1,1,0,0*,0.00,2,0.00,0,0,0,0,0,0,1,18,27,1,1/27,27,9,18,0,0
2018,Mohit Sharma,9,3,10,4*,10.00,13,76.92,0,0,1,0,2,0,9,178,322,7,2/33,46,10.85,25.42,0,0
2017,Mohit Sharma,14,1,51,13,8.50,50,102.00,0,0,3,1,3,0,14,274,410,13,2/24,31.53,8.97,21.07,0,0
2016,Mohit Sharma,14,2,32,15,8.00,26,123.07,0,0,3,1,3,0,14,291,407,13,3/23,31.3,8.39,22.38,0,0
2015,Mohit Sharma,16,3,28,21*,9.33,18,155.55,0,0,1,2,5,0,16,342,481,14,3/25,34.35,8.43,24.42,0,0
2014,Mohit Sharma,16,1,1,1*,0.00,3,33.33,0,0,0,0,3,0,16,323,452,23,4/14,19.65,8.39,14.04,1,0
2020,Mohit Sharma,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,45,1,1/45,45,11.25,24,0,0
2013,Mohit Sharma,0,0,0,0,0,0,0,0,0,0,0,0,0,15,304,326,20,3/10,16.3,6.43,15.2,0,0
No stats,Manav Suthar,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats
2024,Shreyas Iyer,1,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2022,Shreyas Iyer,14,1,401,85,30.85,298,134.56,0,3,41,11,5,0,14,6,7,0,0/7,0,7.00,0,0,0
2021,Shreyas Iyer,8,3,175,47*,35,171,102.33,0,0,7,5,6,0,8,0,0,0,0,0,0,0,0,0
2020,Shreyas Iyer,17,2,519,88*,34.6,421,123.27,0,3,40,16,6,0,17,0,0,0,0,0,0,0,0,0
2019,Shreyas Iyer,16,1,463,67,30.86,386,119.94,0,3,41,14,8,0,16,0,0,0,0,0,0,0,0,0
2018,Shreyas Iyer,14,3,411,93*,37.36,310,132.58,0,4,29,21,5,0,14,0,0,0,0,0,0,0,0,0
2017,Shreyas Iyer,12,2,338,96,33.8,243,139.09,0,2,36,10,3,0,12,0,0,0,0,0,0,0,0,0
2016,Shreyas Iyer,6,0,30,19,5,43,69.76,0,0,2,1,4,0,6,0,0,0,0,0,0,0,0,0
2015,Shreyas Iyer,14,1,439,83,33.76,342,128.36,0,4,41,21,2,0,14,0,0,0,0,0,0,0,0,0
2024,Rinku Singh,1,0,23,23,23,15,153.33,0,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0
2023,Rinku Singh,14,6,474,67*,59.25,317,149.53,0,4,31,29,8,0,14,0,0,0,0,0,0,0,0,0
2022,Rinku Singh,7,2,174,42*,34.8,117,148.72,0,0,17,7,9,0,7,0,0,0,0,0,0,0,0,0
2020,Rinku Singh,1,0,11,11,11,11,100,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
2019,Rinku Singh,5,1,37,30,18.5,34,108.82,0,0,1,2,1,0,5,0,0,0,0,0,0,0,0,0
2018,Rinku Singh,4,0,29,16,7.25,31,93.54,0,0,4,0,4,0,4,0,0,0,0,0,0,0,0,0
2023,Rahmanullah Gurbaz,11,0,227,81,20.64,170,133.53,0,2,17,15,10,0,11,0,0,0,0,0,0,0,0,0
2024,Nitish Rana,1,0,9,9,9,11,81.82,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2023,Nitish Rana,14,1,413,75,31.77,293,140.96,0,3,39,20,3,0,14,53,75,3,2/17,25.00,8.49,17.67,0,0
2022,Nitish Rana,14,1,361,57,27.77,251,143.82,0,2,29,22,6,0,14,12,23,0,0/9,0,11.50,0,0,0
2021,Nitish Rana,17,3,383,80,29.46,314,121.97,0,2,34,17,4,0,17,12,12,0,0/5,0,6.00,0,0,0
2020,Nitish Rana,14,0,352,87,25.14,254,138.58,0,3,43,12,2,0,14,12,23,0,0/7,0,11.50,0,0,0
2019,Nitish Rana,14,1,344,85*,34.4,235,146.38,0,3,27,21,3,0,14,48,72,3,1/8,24.00,9.00,16.00,0,0
2018,Nitish Rana,15,2,304,59,23.38,232,131.03,0,1,26,14,2,0,15,37,44,4,2/11,11.00,7.13,9.25,0,0
2017,Nitish Rana,13,1,333,62*,30.27,264,126.13,0,3,24,17,4,0,13,0,0,0,0,0,0,0,0,0
2016,Nitish Rana,4,0,104,70,34.66,75,138.66,0,1,7,8,0,0,4,6,3,0,0/3,0,3.00,0,0,0
2022,Sherfane Rutherford,3,0,33,28,16.5,50,66,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0
2019,Sherfane Rutherford,7,2,73,28*,14.6,54,135.18,0,0,2,7,5,0,7,41,59,1,1/6,59.00,8.63,41.00,0,0
2024,Phil Salt,1,0,54,54,54,40,135,0,1,3,3,0,0,1,0,0,0,0,0,0,0,0,0
2023,Phil Salt,9,1,218,87,27.25,133,163.91,0,2,24,10,5,0,9,0,0,0,0,0,0,0,0,0
2022,K.S Bharat,2,0,8,8,4,7,114.29,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0
2021,K.S Bharat,8,2,191,78*,38.2,156,122.43,0,1,10,8,4,1,8,0,0,0,0,0,0,0,0,0
2023,Manish Pandey,10,0,160,50,17.78,146,109.59,0,1,15,3,3,0,10,0,0,0,0,0,0,0,0,0
2022,Manish Pandey,6,0,88,38,14.67,80,110,0,0,9,2,3,0,6,0,0,0,0,0,0,0,0,0
2021,Manish Pandey,8,2,292,69*,48.66,236,123.72,0,3,21,10,5,0,8,0,0,0,0,0,0,0,0,0
2020,Manish Pandey,16,2,425,83*,32.69,333,127.62,0,3,35,18,7,0,16,0,0,0,0,0,0,0,0,0
2019,Manish Pandey,12,3,344,83*,43,263,130.79,0,3,34,6,7,0,12,0,0,0,0,0,0,0,0,0
2018,Manish Pandey,15,2,284,62*,25.81,246,115.44,0,3,22,5,9,0,15,0,0,0,0,0,0,0,0,0
2017,Manish Pandey,14,5,396,81*,49.5,308,128.57,0,2,28,12,8,0,14,0,0,0,0,0,0,0,0,0
2016,Manish Pandey,12,3,248,52,31,183,135.51,0,2,17,9,7,0,12,0,0,0,0,0,0,0,0,0
2015,Manish Pandey,13,1,225,40,20.45,184,122.28,0,0,22,7,5,0,13,0,0,0,0,0,0,0,0,0
2014,Manish Pandey,16,3,401,94,30.84,340,117.94,0,2,35,10,3,0,16,0,0,0,0,0,0,0,0,0
2013,Manish Pandey,7,1,136,66,22.66,137,99.27,0,1,11,3,6,0,7,0,0,0,0,0,0,0,0,0
2012,Manish Pandey,10,2,143,80*,20.42,112,127.67,0,1,12,6,3,0,10,0,0,0,0,0,0,0,0,0
2011,Manish Pandey,10,0,246,59,27.33,227,108.37,0,1,28,6,5,0,10,0,0,0,0,0,0,0,0,0
2010,Manish Pandey,13,1,249,42*,20.75,226,110.17,0,0,27,7,7,0,13,0,0,0,0,0,0,0,0,0
2009,Manish Pandey,5,2,168,114*,84,118,142.37,1,0,17,4,4,0,5,0,0,0,0,0,0,0,0,0
2008,Manish Pandey,3,0,3,3,1.5,9,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No stats,Angkrish Raghuvanshi,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats
2023,Anukul Roy,4,2,23,13*,11.5,19,121.05,0,0,3,0,4,0,4,48,65,3,2/19,21.67,8.13,16,0,0
2022,Anukul Roy,2,0,0,0,0,2,0,0,0,0,0,1,0,2,42,55,1,1/28,55,7.86,42,0,0
